id_synthese,date_debut,date_fin,heure_debut,heure_fin,nom_vernaculaire,nombre_min,observateurs,determinateur,x_centroid_4326,y_centroid_4326,nom_lieu,champs_additionnels
285454,2016-05-24,2016-05-24,06:46:00,06:46:00,"Blongios nain, Butor blongios",0,Guenel Nathalie,Guenel Nathalie,3.524423,43.329853,ButorTalèveBlongios-1,{'RELV_NOM': 'SuiviBlongiosTalève'}
285456,2016-05-24,2016-05-24,07:08:00,07:08:00,"Blongios nain, Butor blongios",0,Guenel Nathalie,Guenel Nathalie,3.515507,43.331375,ButorTalèveBlongios-8,{'RELV_NOM': 'SuiviBlongiosTalève'}
285457,2016-05-24,2016-05-24,07:28:00,07:28:00,"Blongios nain, Butor blongios",0,Guenel Nathalie,Guenel Nathalie,3.510068,43.327324,ButorTalèveBlongios-9,{'RELV_NOM': 'SuiviBlongiosTalève'}
285460,2016-05-24,2016-05-24,07:47:00,07:47:00,"Blongios nain, Butor blongios",0,Guenel Nathalie,Guenel Nathalie,3.509005,43.320424,ButorTalèveBlongios-6,{'RELV_NOM': 'SuiviBlongiosTalève'}
285461,2016-05-24,2016-05-24,08:09:00,08:09:00,"Blongios nain, Butor blongios",0,Guenel Nathalie,Guenel Nathalie,3.503405,43.32293,ButorTalèveBlongios-7,{'RELV_NOM': 'SuiviBlongiosTalève'}
286141,2017-05-17,2017-05-17,06:45:00,06:45:00,"Blongios nain, Butor blongios",1,Guenel Nathalie,Guenel Nathalie,3.504753,43.317065,GB6,{'RELV_NOM': 'Suivi passereaux paludicoles'}
286908,2017-05-29,2017-05-29,06:40:00,06:40:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.514083,43.322692,GB,{'RELV_NOM': 'Suivi passereaux paludicoles'}
287077,2017-06-15,2017-06-15,06:20:00,06:20:00,"Blongios nain, Butor blongios",1,Guenel Nathalie,Guenel Nathalie,3.504753,43.317065,GB6,{'RELV_NOM': 'Suivi passereaux paludicoles'}
287860,2017-07-26,2017-07-26,08:40:00,08:40:00,"Blongios nain, Butor blongios",1,ADENA,Guenel Nathalie,3.50753,43.324884,GB8,{'RELV_NOM': 'ComptageHebdo'}
288041,2017-08-04,2017-08-04,08:00:00,08:00:00,"Blongios nain, Butor blongios",1,ADENA,Guenel Nathalie,3.517349,43.329164,GB1,{'RELV_NOM': 'ComptageHebdo'}
289623,2023-06-01,2023-06-01,20:08:00,20:08:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.524423,43.329853,ButorTalèveBlongios-1,{'RELV_NOM': 'SuiviBlongiosTalève'}
289624,2023-06-01,2023-06-01,20:15:00,20:15:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.524187,43.322337,ButorTalèveBlongios-2,{'RELV_NOM': 'SuiviBlongiosTalève'}
289625,2023-06-01,2023-06-01,20:34:00,20:34:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.519831,43.317739,ButorTalèveBlongios-3,{'RELV_NOM': 'SuiviBlongiosTalève'}
289626,2023-06-01,2023-06-01,20:55:00,20:55:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.510314,43.314765,ButorTalèveBlongios-4,{'RELV_NOM': 'SuiviBlongiosTalève'}
289627,2023-06-01,2023-06-01,21:18:00,21:18:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.503888,43.317255,ButorTalèveBlongios-5,{'RELV_NOM': 'SuiviBlongiosTalève'}
289628,2023-06-01,2023-06-01,21:15:00,21:15:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.509005,43.320424,ButorTalèveBlongios-6,{'RELV_NOM': 'SuiviBlongiosTalève'}
289629,2023-06-01,2023-06-01,21:00:00,21:00:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.503405,43.32293,ButorTalèveBlongios-7,{'RELV_NOM': 'SuiviBlongiosTalève'}
289630,2023-06-01,2023-06-01,20:34:00,20:34:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.515507,43.331375,ButorTalèveBlongios-8,{'RELV_NOM': 'SuiviBlongiosTalève'}
289631,2023-06-01,2023-06-01,20:52:00,20:52:00,"Blongios nain, Butor blongios",1,Clara Rondeau,Clara Rondeau,3.510068,43.327324,ButorTalèveBlongios-9,{'RELV_NOM': 'SuiviBlongiosTalève'}
289641,2023-06-21,2023-06-21,20:30:00,20:30:00,"Blongios nain, Butor blongios",0,Xavier Fortuny,Xavier Fortuny,3.524423,43.329853,ButorTalèveBlongios-1,{'RELV_NOM': 'SuiviBlongiosTalève'}
289642,2023-06-21,2023-06-21,20:30:00,20:30:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.524187,43.322337,ButorTalèveBlongios-2,{'RELV_NOM': 'SuiviBlongiosTalève'}
289643,2023-06-21,2023-06-21,20:50:00,20:50:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.519831,43.317739,ButorTalèveBlongios-3,{'RELV_NOM': 'SuiviBlongiosTalève'}
289644,2023-06-21,2023-06-21,21:15:00,21:15:00,"Blongios nain, Butor blongios",1,Antoine Cornet,Antoine Cornet,3.510314,43.314765,ButorTalèveBlongios-4,{'RELV_NOM': 'SuiviBlongiosTalève'}
289645,2023-06-21,2023-06-21,21:38:00,21:38:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.503888,43.317255,ButorTalèveBlongios-5,{'RELV_NOM': 'SuiviBlongiosTalève'}
289646,2023-06-21,2023-06-21,21:53:00,21:53:00,"Blongios nain, Butor blongios",0,Xavier Fortuny,Xavier Fortuny,3.509005,43.320424,ButorTalèveBlongios-6,{'RELV_NOM': 'SuiviBlongiosTalève'}
289647,2023-06-21,2023-06-21,21:33:00,21:33:00,"Blongios nain, Butor blongios",0,Xavier Fortuny,Xavier Fortuny,3.503405,43.32293,ButorTalèveBlongios-7,{'RELV_NOM': 'SuiviBlongiosTalève'}
289648,2023-06-21,2023-06-21,20:49:00,20:49:00,"Blongios nain, Butor blongios",0,Xavier Fortuny,Xavier Fortuny,3.515507,43.331375,ButorTalèveBlongios-8,{'RELV_NOM': 'SuiviBlongiosTalève'}
289649,2023-06-21,2023-06-21,21:10:00,21:10:00,"Blongios nain, Butor blongios",0,Xavier Fortuny,Xavier Fortuny,3.510068,43.327324,ButorTalèveBlongios-9,{'RELV_NOM': 'SuiviBlongiosTalève'}
289659,2023-07-04,2023-07-04,05:30:00,05:30:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.524423,43.329853,ButorTalèveBlongios-1,{'RELV_NOM': 'SuiviBlongiosTalève'}
289660,2023-07-04,2023-07-04,05:34:00,05:34:00,"Blongios nain, Butor blongios",1,Antoine Cornet,Antoine Cornet,3.524187,43.322337,ButorTalèveBlongios-2,{'RELV_NOM': 'SuiviBlongiosTalève'}
289661,2023-07-04,2023-07-04,05:55:00,05:55:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.519831,43.317739,ButorTalèveBlongios-3,{'RELV_NOM': 'SuiviBlongiosTalève'}
289662,2023-07-04,2023-07-04,06:14:00,06:14:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.510314,43.314765,ButorTalèveBlongios-4,{'RELV_NOM': 'SuiviBlongiosTalève'}
289663,2023-07-04,2023-07-04,06:33:00,06:33:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.503888,43.317255,ButorTalèveBlongios-5,{'RELV_NOM': 'SuiviBlongiosTalève'}
289664,2023-07-04,2023-07-04,06:30:00,06:30:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.509005,43.320424,ButorTalèveBlongios-6,{'RELV_NOM': 'SuiviBlongiosTalève'}
289665,2023-07-04,2023-07-04,07:50:00,07:50:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.503405,43.32293,ButorTalèveBlongios-7,{'RELV_NOM': 'SuiviBlongiosTalève'}
289666,2023-07-04,2023-07-04,05:50:00,05:50:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.515507,43.331375,ButorTalèveBlongios-8,{'RELV_NOM': 'SuiviBlongiosTalève'}
289667,2023-07-04,2023-07-04,06:09:00,06:09:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.510068,43.327324,ButorTalèveBlongios-9,{'RELV_NOM': 'SuiviBlongiosTalève'}
289677,2023-07-18,2023-07-18,06:00:00,06:00:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.524423,43.329853,ButorTalèveBlongios-1,{'RELV_NOM': 'SuiviBlongiosTalève'}
289678,2023-07-18,2023-07-18,06:10:00,06:10:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.524187,43.322337,ButorTalèveBlongios-2,{'RELV_NOM': 'SuiviBlongiosTalève'}
289679,2023-07-18,2023-07-18,06:30:00,06:30:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.519831,43.317739,ButorTalèveBlongios-3,{'RELV_NOM': 'SuiviBlongiosTalève'}
289680,2023-07-18,2023-07-18,06:53:00,06:53:00,"Blongios nain, Butor blongios",0,Antoine Cornet,Antoine Cornet,3.510314,43.314765,ButorTalèveBlongios-4,{'RELV_NOM': 'SuiviBlongiosTalève'}
289681,2023-07-18,2023-07-18,07:14:00,07:14:00,"Blongios nain, Butor blongios",1,Antoine Cornet,Antoine Cornet,3.503888,43.317255,ButorTalèveBlongios-5,{'RELV_NOM': 'SuiviBlongiosTalève'}
289682,2023-07-18,2023-07-18,06:57:00,06:57:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.509005,43.320424,ButorTalèveBlongios-6,{'RELV_NOM': 'SuiviBlongiosTalève'}
289683,2023-07-18,2023-07-18,07:16:00,07:16:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.503405,43.32293,ButorTalèveBlongios-7,{'RELV_NOM': 'SuiviBlongiosTalève'}
289684,2023-07-18,2023-07-18,06:20:00,06:20:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.515507,43.331375,ButorTalèveBlongios-8,{'RELV_NOM': 'SuiviBlongiosTalève'}
289685,2023-07-18,2023-07-18,06:39:00,06:39:00,"Blongios nain, Butor blongios",0,Clara Rondeau,Clara Rondeau,3.510068,43.327324,ButorTalèveBlongios-9,{'RELV_NOM': 'SuiviBlongiosTalève'}
326017,2023-06-13,2023-06-13,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,Rondeau/Cornet,NA,3.513924,43.31823,GB5,{'RELV_NOM': 'ComptageOiseauxEaux'}
326018,2023-06-13,2023-06-13,00:00:00,00:00:00,"Blongios nain, Butor blongios",2,Rondeau/Cornet,NA,3.504753,43.317065,GB6,{'RELV_NOM': 'ComptageOiseauxEaux'}
326217,2023-07-17,2023-07-17,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,Rondeau/Cornet,NA,3.515793,43.324984,GB4,{'RELV_NOM': 'ComptageOiseauxEaux'}
386993,2022-06-01,2022-06-01,08:20:00,08:20:00,"Blongios nain, Butor blongios",1,Clara Rondeau,NA,3.511719,43.329017,11,{'RELV_NOM': 'STOC-Site'}
387237,2023-06-02,2023-06-02,08:51:00,08:51:00,"Blongios nain, Butor blongios",1,Clara Rondeau,NA,3.509233,43.326498,10,{'RELV_NOM': 'STOC-Site'}
387488,2024-06-05,2024-06-05,08:13:00,08:13:00,"Blongios nain, Butor blongios",2,Clara Rondeau,NA,3.509233,43.326498,10,{'RELV_NOM': 'STOC-Site'}
387961,2025-05-25,2025-05-25,08:23:00,08:23:00,"Blongios nain, Butor blongios",1,SALVARELLI Benjamin,NA,3.509233,43.326498,10,{'RELV_NOM': 'STOC-Site'}
396116,2025-07-11,2025-07-11,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,Cornet/Arnaud/Salvarelli,NA,3.513924,43.31823,GB5,{'RELV_NOM': 'ComptageOiseauxEaux'}
